fusionsss,count,Pub supported,KB supported
PROSC-CHMP1A,7,,
ABL1-BCR,7,,
TCF7L2-VTI1A,7,,
PACSIN2-TTLL1,7,,
GNB1-NADK,7,,
PPP6R3-LRP5,7,,
TPX2-DEFB123,7,,
WASF2-FGR,7,,
PPP6R3-LRP5,7,,
MECOM-LRRC31,7,,
UBTF-MAML3,7,,
CAMKK2-KDM2B,7,,
JAZF1-TAX1BP1,7,,
ACACB-UNG,7,,
TTYH3-MAD1L1,7,,
TMEM123-MMP20,7,,
DENND1A-PSMB7,7,,
PLEKHG1-MTHFD1L,7,,
EHBP1-COMMD1,7,,
TFB2M-SMYD3,7,,
SPSB1-H6PD,7,,
SPSB1-H6PD,7,,
REV3L-FYN,7,,
PACSIN2-TTLL1,7,,
PPAP2A-SLC38A9,6,,
ACOT9-APOO,6,,
FAM168A-RAB6A,6,,
SMARCA4-DNM2,6,,
FGFR2-ATE1,6,,
STAG1-MSL2,6,,
AFAP1-ABLIM2,6,,
BCAS3-VMP1,6,,
PCMTD1-ST18,6,,
UBE3C-DNAJB6,6,,
DSCR3-TTC3,6,,
ZNF253-LINC00466,6,,
PGAP3-ERBB2,6,,
MATR3-UBE2D2,6,,
PTK2-SLC45A4,6,,
PDLIM1-SORBS1,6,,
UPF3A-CDC16,6,,
MGRN1-C16orf96,6,,
PDLIM1-SORBS1,6,,
KANK1-DOCK8,6,,
B4GALT1-BAG1,6,,
ACOT9-APOO,6,,
PVT1-CASC11,6,,
TPD52L1-RNF217,6,,
DCUN1D2-TMCO3,6,,
LAMA5-C20orf151,6,,
ARHGEF18-INSR,6,,
PPP3R1-C1D,6,,
MATR3-UBE2D2,6,,
WASF2-IFI6,6,,
FCHSD2-FAM168A,6,,
THRAP3-MAP7D1,6,,
UBE3C-DNAJB6,6,,
LAPTM4B-MTDH,6,,
TANC1-PKP4,6,,
MECOM-LRRC34,6,,
PCMTD1-ST18,6,,
REPS2-TXLNG,6,,
PPAP2A-SLC38A9,6,,
SPEN-PLEKHM2,6,,
C7orf50-MAD1L1,6,,
ARHGEF18-INSR,6,,
HCG18-TRIM26,6,,
PUM1-NKAIN1,6,,
BCAS3-VMP1,6,,
MECOM-LRRC34,6,,
FCHSD2-FAM168A,6,,
FGFR2-ATE1,6,,
LAMA5-C20orf151,6,,
C7orf50-MAD1L1,6,,
NFAT5-SNTB2,5,,
ACAP2-XXYLT1,5,,
PLEKHF2-NDUFAF6,5,,
MAN1A2-TTF2,5,,
SCD5-TMEM150C,5,,
ARRB1-GDPD5,5,,
EPS15L1-CALR3,5,,
AKAP8L-BRD4,5,,
BUB1B-EIF2AK4,5,,
CDC42EP4-SDK2,5,,
ARL8B-ITPR1,5,,
GRB7-ERBB2,5,,
PILRB-PVRIG,5,,
AGBL4-FAF1,5,,
ST14-APLP2,5,,
ASAP2-CPSF3,5,,
IQGAP1-ZNF774,5,,
TFDP2-XRN1,5,,
PGLYRP3-SPRR2G,5,,
SCD5-TMEM150C,5,,
EGFR-SEC61G,5,,
PHLDB2-CD96,5,,
POLR1A-REEP1,5,,
TRIP12-SLC16A14,5,,
RORA-ANXA2,5,,
SLC12A7-TERT,5,,
SCYL1-FRMD8,5,,
SFTPB-TPT1,5,,
PHLDB2-CD96,5,,
ST3GAL2-COG4,5,,
IP6K2-PRKAR2A,5,,
PARD3-CUL2,5,,
NR6A1-GOLGA1,5,,
ACO2-ZC3H7B,5,,
TNS3-PKD1L1,5,,
CAPZB-TMCO4,5,,
MARK2-C11orf84,5,,
PPP2R2A-BNIP3L,5,,
SORL1-TECTA,5,,
PDE4D-ELOVL7,5,,
EP400-SFSWAP,5,,
IQGAP1-SEMA4B,5,,
PPFIA1-ANO1,5,,
DYRK1A-TTC3,5,,
GAS7-MYH1,5,,
ASAP2-CPSF3,5,,
NTN1-STX8,5,,
EPB41L1-PHF20,5,,
GRAMD4-TBC1D22A,5,,
TNS3-PKD1L1,5,,
WDR59-CFDP1,5,,
MAN1A2-TTF2,5,,
TNFSF10-NCEH1,5,,
NFAT5-SNTB2,5,,
NFAT5-CYB5B,4,,
TFRC-TCTEX1D2,4,,
VMP1-RPS6KB1,4,,
SEMA4C-FAM178B,4,,
ACOX1-SRP68,4,,
RNF19A-ANKRD46,4,,
GPR110-TNFRSF21,4,,
TSEN2-PPARG,4,,
EXOC6B-SFXN5,4,,
LMBR1-PTPRN2,4,,
WHSC1L1-FGFR1,4,,
SOGA1-SAMHD1,4,,
CHMP4B-CBFA2T2,4,,
ERBB2-CDK12,4,,
RARA-CDK12,4,,
PUM1-SDC3,4,,
SEPT9-SEC14L1,4,,
XPO1-USP34,4,,
MTMR2-MAML2,4,,
BMPR1B-PDLIM5,4,,
GIGYF2-EFHD1,4,,
CSE1L-ARFGEF2,4,,
PTPRK-THEMIS,4,,
SKI-PRKCZ,4,,
TET3-ACTG2,4,,
FOXP1-EIF4E3,4,,
RFTN1-DAZL,4,,
TC2N-FBLN5,4,,
FAM208B-NET1,4,,
CABLES1-RBBP8,4,,
NXN-ABR,4,,
FGFR2-BICC1,4,,
LYZ-CCT2,4,,
CERS6-NOSTRIN,4,,
GP2-LYZ,4,,
CCDC122-ENOX1,4,,
LMO1-RIC3,4,,
VMP1-RPS6KB1,4,,
PLCXD2-CD96,4,,
NRP2-PARD3B,4,,
FHOD3-MOCOS,4,,
PSMD1-ARMC9,4,,
NDRG1-ST3GAL1,4,,
MRPL21-CPT1A,4,,
NKD1-NOD2,4,,
CLU-GFAP,4,,
PCCA-CLYBL,4,,
MTHFS-BCL2A1,4,,
BCAR1-CFDP1,4,,
GPR126-VTA1,4,,
SPON2-CTBP1,4,,
TFDP1-CUL4A,4,,
ATP2A2-IFT81,4,,
AMBRA1-ARHGAP1,4,,
UBXN4-R3HDM1,4,,
ATP11A-MCF2L,4,,
ZBTB38-ACPL2,4,,
VPS53-GLOD4,4,,
SERINC2-ZCCHC17,4,,
ESR1-MTHFD1L,4,,
CCDC122-ENOX1,4,,
LGR6-GPR37L1,4,,
ZMYND8-EYA2,4,,
CDK13-POU6F2,4,,
SOGA1-SAMHD1,4,,
FNIP1-ACSL6,4,,
CARM1-C19orf38,4,,
UBE4B-RBP7,4,,
ITGB4-SAP30BP,4,,
PPP1R13B-C14orf2,4,,
SLC25A29-WARS,4,,
NFIX-CALR,4,,
CTRB1-KLK10,4,,
ZFHX3-PMFBP1,4,,
BMPR1B-PDLIM5,4,,
TOX3-CASC16,4,,
UBE3C-PTPRN2,4,,
PAPSS2-PTEN,4,,
AP2A2-TALDO1,4,,
KDM5A-NINJ2,4,,
STK24-DOCK9,4,,
AMBRA1-ARHGAP1,4,,
TBC1D15-LGR5,4,,
ANKRD11-FANCA,4,,
NUMB-HEATR4,4,,
LYZ-CCT2,4,,
GP2-LYZ,4,,
CHD7-RAB2A,4,,
SEPT7P2-PSPH,4,,
PVT1-QRSL1,4,,
AGGF1-RAF1,4,,
METTL24-SLC22A16,4,,
RERE-SLC2A5,4,,
NOS1AP-ATF6,4,,
WWP2-TMCO7,4,,
LAMA5-RBBP8NL,4,,
ZMYND8-EYA2,4,,
ZMYND8-SULF2,4,,
NCALD-UBR5,4,,
SMAD7-DYM,4,,
CFLAR-NDUFB3,4,,
PGAP3-STARD3,3,,
PPFIA1-SHANK2,3,,
ZDHHC20-EFHA1,3,,
PPARG-SYN2,3,,
SLC39A11-SDK2,3,,
GRB7-PGAP3,3,,
C6orf62-KIAA0319,3,,
FZR1-NFIC,3,,
CTTN-ANO1,3,,
FRS2-LYZ,3,,
EIF2AK2-CEBPZ,3,,
MYH9-FOXRED2,3,,
ZNF587B-ZSCAN4,3,,
ILF3-SLC44A2,3,,
SBNO2-SERINC2,3,,
RCAN1-RUNX1,3,,
FANCD2-MTMR14,3,,
FAM172A-KIAA0825,3,,
UVRAG-MAP6,3,,
RAB3GAP1-ACMSD,3,,
DGCR2-CLTCL1,3,,
FBXO32-ANXA13,3,,
ATL2-DHX57,3,,
RCC1-ICA1,3,,
LGALS8-EDARADD,3,,
RIMS2-BAALC,3,,
DNM2-ILF3,3,,
GABRP-KCNIP1,3,,
NFIX-DAND5,3,,
ATL2-HNRPLL,3,,
STARD3-IKZF3,3,,
PACS1-ZDHHC24,3,,
CLEC16A-LITAF,3,,
PDHX-CAT,3,,
SFMBT1-RFT1,3,,
RNF185-SMTN,3,,
LTBP1-TTC27,3,,
TBL1XR1-PIK3CA,3,,
ZFAND3-RNF8,3,,
ABHD2-VAPA,3,,
PIK3R3-LRRC41,3,,
ASCC3-GRIK2,3,,
EEF2K-VWA3A,3,,
ALDOA-COL1A1,3,,
NFIX-RAD23A,3,,
GALNT7-SAP30,3,,
PDS5B-UBR2,3,,
TRPS1-LINC00536,3,,
PTPN13-AFF1,3,,
CCT3-IQGAP3,3,,
CHD7-TOX,3,,
GRB7-MIEN1,3,,
ERBB2-PSMB3,3,,
ATP2C1-NEK11,3,,
PPM1G-IFT172,3,,
PIEZO1-CBFA2T3,3,,
ME1-UBE3D,3,,
FAM222B-PHF12,3,,
MSH2-EPCAM,3,,
TSFM-OS9,3,,
ZNF589-FBXW12,3,,
SEC61G-EGFR,3,,
NOTCH1-SDCCAG3,3,,
IGHGP-NOTCH1,3,,
RAB2A-CLVS1,3,,
WNK1-RAD52,3,,
NUCB1-RUVBL2,3,,
HNRNPH1-ERG,3,,
DPM1-GRID1,3,,
RPS11-FLT3LG,3,,
POLR2A-FBN3,3,,
CHD1-MTOR,3,,
DNMT3B-MDM4,3,,
SEC63-FIG4,3,,
GOSR1-ZNF207,3,,
MECOM-RPN1,3,,
NF1-LRRC37B,3,,
DOCK6-CCDC130,3,,
KPNB1-ACE3P,3,,
GAPVD1-PTGR1,3,,
ZBTB7A-TNK1,3,,
PPP2R2B-DPYSL3,3,,
ABHD6-FLNB,3,,
TESK2-PRDX1,3,,
SPEN-FBLIM1,3,,
ZC3H7B-L3MBTL2,3,,
ZNF341-C20orf144,3,,
ERN1-TEX2,3,,
KIFC3-CNGB1,3,,
KIAA1109-CCNA2,3,,
ATP11A-C13orf35,3,,
APOPT1-MARK3,3,,
MTUS1-FGL1,3,,
CTSH-RASGRF1,3,,
TUBD1-VMP1,3,,
DHX40-VMP1,3,,
SWAP70-ZNF143,3,,
GCN1L1-RPLP0,3,,
ERGIC1-RANBP17,3,,
FAM104A-CDC42EP4,3,,
NPLOC4-PDE6G,3,,
TNPO2-HOOK2,3,,
TP63-TPRG1,3,,
ATP1B3-GRK7,3,,
FAM222B-SEZ6,3,,
YWHAE-SLC43A2,3,,
EPN1-CCDC106,3,,
PTGDS-MFSD10,3,,
ADD1-FAM193A,3,,
UBE2G1-PELP1,3,,
SCAP-SMARCC1,3,,
ZNF3-MCM7,3,,
SGPL1-ADAMTS14,3,,
MKNK1-ATPAF1,3,,
RCC1-ITGB3BP,3,,
ATP2B4-OPTC,3,,
CTDSPL2-CASC4,3,,
EVPL-SRP68,3,,
SORL1-TBCEL,3,,
KLHL14-CCDC178,3,,
CEL-CPA1,3,,
PRSS1-PNLIP,3,,
TRIM33-CSDE1,3,,
MAGI1-SUCLG2,3,,
SEC23B-CSRP2BP,3,,
PRKAG2-MLL3,3,,
OR51E2-AMACR,3,,
MICALL2-UCKL1,3,,
REV3L-TRAF3IP2,3,,
LEMD3-LYZ,3,,
CTDP1-NFATC1,3,,
RAB3IP-FRS2,3,,
YY1AP1-ARHGEF2,3,,
KIAA1432-KDM4C,3,,
ARHGAP24-MAPK10,3,,
KIRREL-CD1C,3,,
KIRREL-CD1A,3,,
FRS2-TBC1D30,3,,
FRS2-PTPRR,3,,
TRIO-TERT,3,,
LGR5-TSPAN8,3,,
CTDSP2-LGR5,3,,
CCT2-CACNG3,3,,
CPM-MYRFL,3,,
USP53-MYOZ2,3,,
DTL-PPP2R5A,3,,
MED13-BRIP1,3,,
CASZ1-MTOR,3,,
TACC2-PPAPDC1A,3,,
AXIN1-LUC7L,3,,
RAB3IP-CNOT2,3,,
ARID4B-TOMM20,3,,
USP39-ELMOD3,3,,
KIAA0100-MYO18A,3,,
SMAD3-MAP2K5,3,,
USP6NL-UPF2,3,,
CRADD-MRPL42,3,,
NEDD4L-ALPK2,3,,
ARHGEF12-POU2F3,3,,
GRB7-IKZF3,3,,
USP34-XPO1,3,,
STARD3-PPP1R1B,3,,
RNF169-POLD3,3,,
NF1-ATAD5,3,,
PRSS3-UBE2R2,3,,
GRB7-WIPF2,3,,
RCC1-EEF1D,3,,
TMEM123-MMP27,3,,
KLC1-MARK3,3,,
CASZ1-EXOSC10,3,,
DNM1L-FGD4,3,,
GAPVD1-RABEPK,3,,
UBAP2-KIF24,3,,
ESCO1-ABHD3,3,,
ZBTB7A-MAP2K2,3,,
EYA2-SLC2A10,3,,
SRGAP3-LHFPL4,3,,
ABHD14B-POC1A,3,,
GNB1-CDK11B,3,,
ZNRF3-EMID1,2,,
ASB4-DYNC1I1,2,,
LSP1-SYT8,2,,
PTEN-RNLS,2,,
MKRN2-PPARG,2,,
PFDN2-NIT1,2,,
CEP350-TOR1AIP1,2,,
DENND4C-ACER2,2,,
SNX31-PABPC1,2,,
RNF19A-NCALD,2,,
TSEN2-SYN2,2,,
VPS13B-C8orf56,2,,
FSCN1-EIF2AK1,2,,
FAM169A-ANKRD31,2,,
FIG4-WASF1,2,,
RARA-PCTP,2,,
TMEM135-C11orf67,2,,
MTF2-RPL5,2,,
KIAA0195-ICT1,2,,
SPAG9-SKAP1,2,,
MSI2-TEX2,2,,
LLGL2-CA10,2,,
PVT1-SLC30A8,2,,
HECTD2-PCGF5,2,,
ACLY-DNAJC7,2,,
ATG13-TSPAN18,2,,
MCM5-TOM1,2,,
KAT6A-ADAM2,2,,
UVRAG-PAK1,2,,
MVP-KIF22,2,,
PLEKHF2-C8orf38,2,,
MLL3-PRKAG2,2,,
TSKU-SFRP4,2,,
DNAJC9-TTC18,2,,
MYO1D-TMIGD1,2,,
CGNL1-TCF12,2,,
FCHSD2-SHANK2,2,,
EPS15L1-MED26,2,,
KAT6A-IKBKB,2,,
PKP2-DNM1L,2,,
DCP2-REEP5,2,,
ARHGEF11-ETV3,2,,
CTPS2-RBBP7,2,,
TBCD-SLC9A3R1,2,,
CCM2-PPIA,2,,
PTPRU-EPB41,2,,
WDR76-PDIA3,2,,
TRMU-TTC38,2,,
EEF2K-UQCRC2,2,,
KDM4B-UHRF1,2,,
EFHD1-EIF4E2,2,,
MCM9-FAM184A,2,,
SARS-KIAA1324,2,,
RUNX2-IFT88,2,,
CP-SOX5,2,,
ZBTB7B-CKS1B,2,,
SESTD1-ZNF385B,2,,
BCL2L14-ETV6,2,,
NFKBIZ-LOC152225,2,,
NUMA1-SHANK2,2,,
C5orf42-NUP155,2,,
TMEM135-AAMDC,2,,
URGCP-CCDC129,2,,
PRKCA-RGS9,2,,
RPRD1A-SLC39A6,2,,
UBE2J2-ACAP3,2,,
MEGF8-PRR19,2,,
TBC1D4-COMMD6,2,,
MTHFD1L-THEMIS,2,,
TARBP1-RBM34,2,,
C20orf112-COMMD7,2,,
MPP2-PPY,2,,
SH2B3-CUX2,2,,
ARFGEF1-CPA6,2,,
TOM1L2-PEMT,2,,
NEBL-DNAJC1,2,,
FAM102A-NAIF1,2,,
LRP12-KCNB2,2,,
ILF3-ZNF627,2,,
ADK-KAT6B,2,,
FBXL20-MSL1,2,,
FBXL20-SYNRG,2,,
HERC1-KIAA0101,2,,
TC2N-ATXN3,2,,
NEBL-SKIDA1,2,,
CLNS1A-GAB2,2,,
TANC2-EFCAB3,2,,
SETD5-ATG7,2,,
MLL3-CNTNAP2,2,,
ILVBL-SYDE1,2,,
BCAS3-RAD51C,2,,
RHOH-N4BP2,2,,
PROSC-DDHD2,2,,
CHD7-ASPH,2,,
PVT1-POU5F1B,2,,
XXYLT1-ACAP2,2,,
WAC-APBB1IP,2,,
ZPLD1-NXPE3,2,,
SCUBE3-ANKS1A,2,,
ASXL1-XKR7,2,,
CACNB1-CDC6,2,,
TDRD3-DIAPH3,2,,
UVRAG-EMSY,2,,
ERBB2-NEUROD2,2,,
STAG1-IL20RB,2,,
RIOK1-EYS,2,,
TRPV4-GIT2,2,,
RBCK1-CLCN7,2,,
OPN3-FH,2,,
CHD1-RGMB,2,,
ACLY-WEE1,2,,
COL27A1-ZNF618,2,,
PTPN12-PION,2,,
ZNRF3-KREMEN1,2,,
DMXL1-TNFAIP8,2,,
ACAA2-MYO5B,2,,
SMG5-CCT3,2,,
LANCL2-SEPT14,2,,
SLC35E3-OS9,2,,
ADAM17-YWHAQ,2,,
FRS2-DTX3,2,,
NFASC-SOX13,2,,
CTDSP2-TSPAN31,2,,
EGFR-PSPH,2,,
CPM-NUP107,2,,
CLEC16A-TXNDC11,2,,
CREB3-TLN1,2,,
GLS-MYO1B,2,,
SEPW1-EHD2,2,,
PANX1-HEPHL1,2,,
WSCD1-NLRP1,2,,
DHX33-NLRP1,2,,
ZBTB20-CD200R1,2,,
ACSM2B-NOTCH2,2,,
EIF4A1-KLF2,2,,
SIK3-C11orf1,2,,
CDC73-FAM172A,2,,
BZW2-GUSB,2,,
VTI1B-RDH11,2,,
MKNK2-RNF126,2,,
DDX20-TBX15,2,,
PRMT1-TLE6,2,,
CHST11-ATP1B4,2,,
NFASC-ATP2B4,2,,
R3HDM2-GLI1,2,,
TMCC2-MNAT1,2,,
TMPRSS6-PPP6R3,2,,
CEBPG-GPATCH1,2,,
CYP2C18-HELLS,2,,
SFPQ-TFEB,2,,
NSD1-FGFR4,2,,
HSD17B11-SPARCL1,2,,
UBE2D2-CTNNA1,2,,
PCCA-ZIC2,2,,
CPS1-MAP2,2,,
RRBP1-TASP1,2,,
SNAI1-PFDN4,2,,
E2F5-CA3,2,,
CTNND1-ZDHHC5,2,,
WDR34-ZER1,2,,
UNC45A-BLM,2,,
MTMR12-ZFR,2,,
ATOH8-GNLY,2,,
YAP1-C11orf70,2,,
TSPAN4-EPS8L2,2,,
FHDC1-ARFIP1,2,,
TAF4-TSHZ2,2,,
SPATA6-BEND5,2,,
FTO-RBL2,2,,
SART3-CORO1C,2,,
SYPL1-AKR1D1,2,,
RAI14-ASB4,2,,
SERGEF-ANKRD29,2,,
CSTA-CASR,2,,
LAMTOR4-AP4M1,2,,
PELP1-CHRNE,2,,
PLEKHG4B-AHRR,2,,
PLEKHG4B-PDCD6,2,,
TRAF7-LRRC1,2,,
TBCE-GGPS1,2,,
EXOSC7-ZDHHC3,2,,
ADAMTS17-CERS3,2,,
MARK3-EIF5,2,,
RASA2-ACPL2,2,,
PICALM-ME3,2,,
MYO3B-TSHZ2,2,,
PHF12-MYO18A,2,,
BTBD2-SBNO2,2,,
HSPA8-GRIK5,2,,
C19orf48-KLK7,2,,
CSNK2A1-SNRPB,2,,
ACVR1-NFATC1,2,,
JMJD1C-CTNNA3,2,,
UBE2D2-PSD2,2,,
SMAP2-CAP1,2,,
DYNLRB1-ITCH,2,,
PRC1-VPS33B,2,,
ERP27-IGF2,2,,
SRGAP3-RAD18,2,,
LRIG3-ATF7,2,,
GPR35-ANKMY1,2,,
PHF21A-TTC25,2,,
IRF2BP2-SP2,2,,
RYK-KALRN,2,,
LRP1-OS9,2,,
ACSL3-SGPP2,2,,
BEND7-FRMD4A,2,,
ACPP-ZNF462,2,,
GNAQ-VEPH1,2,,
GATAD2B-KCNN3,2,,
MAP4K3-TMEM178A,2,,
TARS2-MRPS21,2,,
TMPRSS2-DGKG,2,,
TMPRSS2-TMEM109,2,,
PTPRK-ECHDC1,2,,
LUC7L2-ETV1,2,,
RALGAPA1-SLC25A21,2,,
LAMA5-CLCN7,2,,
SND1-IMMP2L,2,,
KIAA1614-F11R,2,,
SLFN5-TBC1D15,2,,
HMGA2-ARFGAP2,2,,
TBC1D15-SLC16A7,2,,
ZFC3H1-MON2,2,,
CTDSP2-ZDHHC17,2,,
PTPRS-ANGPTL4,2,,
ATP8B4-LINGO1,2,,
WASF1-SLC41A3,2,,
GLOD4-NPLOC4,2,,
PTPRS-ZNF627,2,,
STXBP6-ZNF410,2,,
TGFBR2-XPC,2,,
FRS2-TMTC2,2,,
MAP3K14-SRP68,2,,
PIEZO2-IMPA2,2,,
ROCK1-LAMP5,2,,
ZNF318-CD2AP,2,,
RAB21-DNM3,2,,
KCNMB4-ARHGAP9,2,,
SYT1-EPYC,2,,
RAB21-SLC4A8,2,,
TRIM27-PTPRR,2,,
ARFGEF1-CCDC94,2,,
RMND1-MTHFD1L,2,,
WDFY3-PLAGL1,2,,
VMP1-TK1,2,,
GRIK2-RNF217,2,,
LAMA2-GRIK2,2,,
GNA11-TMCO3,2,,
AKAP12-ASCC3,2,,
SCAF8-IL20RA,2,,
YEATS4-KIAA1244,2,,
UTRN-WIF1,2,,
SYT1-PPFIA2,2,,
NEDD1-TMTC2,2,,
PID1-MRPS6,2,,
AGAP1-ATG4B,2,,
TBC1D15-CPM,2,,
FBXL7-MRPL51,2,,
FHL1-TSPAN31,2,,
METTL21B-PTPRR,2,,
TM7SF3-KCNC2,2,,
WBP11-LGR5,2,,
TSPAN31-ITPR2,2,,
PLEKHB2-GABRR1,2,,
ANKH-STEAP3,2,,
DMXL1-NANS,2,,
ADAMTS5-CYYR1,2,,
CTNNA1-CYSTM1,2,,
APPBP2-SETD2,2,,
CTIF-AJUBA,2,,
SENP5-FAM193A,2,,
